CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2013 Score,Change in Yearly Score from 2012,Property Rights,Change in Property Rights from 2012,Freedom from Corruption,Change in Freedom from Corruption from 2012,Fiscal Freedom ,Change in Fiscal Freedom from 2012,Gov't Spending,Change in Gov't Spending from 2012,Business Freedom,Change in Business Freedom from 2012,Labor Freedom,Change in Labor Freedom from 2012,Monetary Freedom,Change in Monetary Freedom from 2012,Trade Freedom,Change in Trade Freedom from 2012,Investment Freedom ,Change in Investment Freedom from 2012,Financial Freedom,Change in Financial Freedom from 2012,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),,,,,,,,,,,,,,,
1,Afghanistan,Afghanistan,Asia-Pacific,N/A,N/A,N/A,N/A,N/A,N/A,15,N/A,N/A,N/A,83.2,N/A,59.7,N/A,75.8,N/A,69.5,N/A,N/A,N/A,65,N/A,N/A,N/A,N/A,20,20.0,9.2,23.7,Afghanistan,31.1,$29.7,5.7,10.3,$956 ,N/A,11.2,$83.4,12.1,,,,,,,,,,,,,,,
2,Albania,Albania,Europe,58,27,65.2,0.1,30.0,-5.0,31.0,-2.0,92.6,1.2,75.1,5.6,81.0,2.8,49.0,-2.0,78.4,-0.2,79.8,0.0,65.0,0.0,70.0,0.0,5.1,10.0,10.0,23.3,28.8,Albania,3.2,$24.9,2.0,4.4,"$7,741 ",13.5,3.4,"$1,031.4",58.9,,,,,,,,,,,,,,,
3,Algeria,Algeria,Middle East / North Africa,145,14,49.6,-1.4,30.0,0.0,29.0,0.0,80.4,-2.5,44.1,-3.8,65.2,-1.1,52.6,-1.8,76.6,0.3,67.8,-5.0,20.0,0.0,30.0,0.0,8.6,35.0,25.0,10.4,43.1,Algeria,36.0,$263.7,2.5,2.7,"$7,333 ",10.0,4.5,"$2,571.0",9.9,,,,,,,,,,,,,,,
4,Angola,Angola,Sub-Saharan Africa,158,40,47.3,0.6,15.0,-5.0,20.0,1.0,82.6,-1.5,60.6,7.4,43.1,-2.4,44.8,0.9,61.5,0.3,70.2,5.0,35.0,0.0,40.0,0.0,7.4,17.0,35.0,14.9,36.3,Angola,19.6,$115.7,3.4,8.8,"$5,895 ",N/A,13.5,"-$5,585.5",30.9,,,,,,,,,,,,,,,
5,Argentina,Argentina,South and Central America / Caribbean,160,27,46.7,-1.3,15.0,-5.0,30.0,1.0,64.3,-1.2,52.1,-4.8,60.1,-0.9,47.4,-1.5,60.4,-0.3,67.6,0.0,40.0,0.0,30.0,0.0,6.2,35.0,35.0,33.5,40.0,Argentina,40.9,$716.4,8.9,6.8,"$17,516 ",7.2,9.8,"$7,243.1",44.2,,,,,,,,,,,,,,,
6,Armenia,Armenia,Europe,38,17,69.4,0.6,30.0,0.0,26.0,0.0,88.0,-1.3,82.1,7.2,87.6,-0.2,77.1,0.5,73.0,-0.1,85.4,0.0,75.0,0.0,70.0,0.0,2.3,20.0,20.0,20.0,24.4,Armenia,3.3,$17.9,4.4,2.2,"$5,384 ",5.9,7.7,$524.6,35.1,,,,,,,,,,,,,,,
7,Australia,Australia,Asia-Pacific,3,3,82.6,-0.5,90.0,0.0,88.0,1.0,66.4,3.0,62.8,-4.3,95.5,3.6,83.5,-7.1,83.8,-0.7,86.2,0.0,80.0,0.0,90.0,0.0,1.9,45.0,30.0,20.9,35.2,Australia,22.7,$914.5,2.0,2.6,"$40,234 ",5.1,3.4,"$41,316.7",22.9,,,,,,,,,,,,,,,
8,Austria,Austria,Europe,25,14,71.8,1.5,90.0,0.0,78.0,-1.0,51.1,0.6,23.5,8.1,73.6,3.3,80.4,2.3,79.3,-2.9,86.8,-0.4,85.0,5.0,70.0,0.0,1.6,50.0,25.0,42.0,50.5,Austria,8.4,$352.0,3.1,1.3,"$41,822 ",4.5,3.6,"$14,127.9",72.2,,,,,,,,,,,,,,,
9,Azerbaijan,Azerbaijan,Asia-Pacific,88,14,59.7,0.8,25.0,5.0,24.0,0.0,85.5,0.6,67.8,4.1,69.2,0.6,79.4,-2.2,73.5,-1.0,77.2,0.0,55.0,0.0,40.0,0.0,3.9,30.0,20.0,12.4,32.8,Azerbaijan,9.1,$93.1,0.1,9.7,"$10,202 ",1.0,7.9,"$1,465.0",10.2,,,,,,,,,,,,,,,
10,"Bahamas, The",Bahamas,South and Central America / Caribbean,35,3,70.1,2.1,70.0,0.0,73.0,18.0,97.0,-0.7,84.9,-0.3,71.3,0.4,81.6,-1.1,75.8,-0.2,47.0,4.8,30.0,0.0,70.0,0.0,21.5,0.0,0.0,17.4,22.4,The Bahamas,0.3,$10.8,2.0,-0.5,"$30,959 ",13.7,2.5,"$1,533.3",48.6,,,,,,,,,,,,,,,
11,Bahrain,Bahrain,Middle East / North Africa,12,1,75.5,0.3,55.0,0.0,51.0,2.0,99.9,0.0,72.4,0.2,75.8,-0.7,90.4,-0.7,72.5,2.1,82.8,0.0,75.0,0.0,80.0,0.0,3.6,0.0,0.0,3.9,30.3,Bahrain,1.1,$31.1,1.8,4.8,"$27,556 ",4.0,1.0,$780.9,36.5,,,,,,,,,,,,,,,
12,Bangladesh,Bangladesh,Asia-Pacific,132,28,52.6,-0.6,20.0,0.0,27.0,3.0,72.7,-0.1,92.1,-1.8,68.0,-0.5,51.9,-4.0,65.4,-2.1,54.0,0.0,55.0,0.0,20.0,0.0,13.0,25.0,45.0,9.0,16.2,Bangladesh,166.7,$282.2,6.1,6.1,"$1,693 ",5.0,10.7,"$1,136.4",42.9,,,,,,,,,,,,,,,
13,Barbados,Barbados,South and Central America / Caribbean,39,6,69.3,0.3,80.0,0.0,78.0,0.0,74.5,3.4,54.2,14.1,74.8,-15.2,84.4,4.4,72.1,-3.7,60.5,0.0,55.0,0.0,60.0,0.0,14.8,35.0,25.0,26.5,39.1,Barbados,0.3,$6.5,0.5,0.0,"$23,417 ",11.2,9.4,$333.6,117.3,,,,,,,,,,,,,,,
14,Belarus,Belarus,Europe,154,42,48.0,-1.0,20.0,0.0,24.0,-1.0,88.8,2.2,43.5,8.6,75.2,3.9,76.9,-0.1,40.7,-24.6,80.8,0.4,20.0,0.0,10.0,0.0,2.1,12.0,18.0,25.6,43.4,Belarus,9.4,$141.8,5.3,6.4,"$15,028 ",N/A,53.2,"$3,985.8",50.2,,,,,,,,,,,,,,,
15,Belgium,Belgium,Europe,40,18,69.2,0.2,80.0,0.0,75.0,4.0,45.0,0.2,14.5,2.4,91.6,-0.7,69.8,-1.5,79.3,-1.9,86.8,-0.3,80.0,0.0,70.0,0.0,1.6,50.0,33.0,43.8,53.4,Belgium,11.0,$413.3,1.9,1.0,"$37,737 ",7.4,3.5,"$89,142.4",98.5,,,,,,,,,,,,,,,
16,Belize,Belize,South and Central America / Caribbean,102,20,57.3,-4.6,30.0,0.0,0.0,-20.0,82.2,-0.6,72.6,-2.0,72.6,-1.0,71.4,-10.8,77.3,-0.3,77.2,-0.9,40.0,-10.0,50.0,0.0,6.4,25.0,25.0,23.1,30.2,Belize,0.3,$2.8,2.5,2.0,"$8,264 ",13.1,1.9,$93.8,80.3,,,,,,,,,,,,,,,
17,Benin,Benin,Sub-Saharan Africa,101,15,57.6,1.9,30.0,0.0,30.0,2.0,76.1,-0.1,86.1,6.2,45.4,2.5,49.7,-1.8,79.9,0.2,59.3,0.0,70.0,10.0,50.0,0.0,15.4,35.0,30.0,16.2,21.6,Benin,9.9,$14.7,3.1,3.6,"$1,481 ",N/A,2.7,$118.5,31.3,,,,,,,,,,,,,,,
18,Bhutan,Bhutan,Asia-Pacific,122,25,55.0,-1.6,60.0,0.0,57.0,0.0,82.7,-1.1,38.8,-16.5,60.5,0.8,84.4,5.8,67.3,-5.3,49.5,0.0,20.0,0.0,30.0,0.0,17.8,25.0,30.0,14.4,45.2,Bhutan,0.7,$4.3,5.9,9.1,"$6,112 ",4.0,8.6,$13.9,82.0,,,,,,,,,,,,,,,
19,Bolivia,Bolivia,South and Central America / Caribbean,156,25,47.9,-2.3,10.0,0.0,28.0,0.0,88.8,1.8,64.1,1.9,55.8,-0.7,30.8,-10.0,67.4,-5.4,74.3,0.0,10.0,-10.0,50.0,0.0,5.4,13.0,25.0,18.0,34.6,Bolivia,10.6,$50.9,5.1,4.8,"$4,789 ",5.8,9.9,$858.9,32.9,,,,,,,,,,,,,,,
20,Bosnia and Herzegovina,BosniaHerzegovina,Europe,103,38,57.3,0.0,20.0,0.0,32.0,0.0,83.2,-1.1,26.9,2.5,54.3,-0.9,61.2,0.8,79.0,-1.7,86.4,0.4,70.0,0.0,60.0,0.0,1.8,10.0,10.0,38.5,49.4,Bosnia and Herzegovina,3.9,$31.6,1.7,2.2,"$8,133 ",43.3,3.7,$435.1,40.6,,,,,,,,,,,,,,,
21,Botswana,Botswana,Sub-Saharan Africa,30,2,70.6,1.0,70.0,0.0,61.0,3.0,79.5,1.2,65.1,11.4,69.0,-0.1,69.8,-0.4,72.0,-0.4,79.7,0.0,70.0,-5.0,70.0,0.0,5.2,25.0,22.0,30.7,34.1,Botswana,1.9,$29.7,4.6,2.8,"$16,030 ",7.5,8.5,$587.1,17.3,,,,,,,,,,,,,,,
22,Brazil,Brazil,South and Central America / Caribbean,100,19,57.7,-0.2,50.0,0.0,38.0,1.0,70.3,1.2,54.8,0.0,53.0,-0.7,57.2,-1.9,74.4,-1.4,69.7,0.0,50.0,0.0,60.0,0.0,7.6,27.5,34.0,32.5,38.8,Brazil,194.9,"$2,294.2",2.7,4.2,"$11,769 ",6.0,6.6,"$66,660.1",66.2,,,,,,,,,,,,,,,
23,Bulgaria,Bulgaria,Europe,60,29,65.0,0.3,30.0,0.0,33.0,-3.0,94.0,0.4,64.2,13.9,73.6,0.9,74.8,-9.4,78.6,0.8,86.8,-0.3,55.0,0.0,60.0,0.0,1.6,10.0,10.0,19.9,34.6,Bulgaria,7.4,$101.0,1.7,1.7,"$13,597 ",9.6,3.4,"$1,864.5",17.0,,,,,,,,,,,,,,,
24,Burkina Faso,BurkinaFaso,Sub-Saharan Africa,86,10,59.9,-0.7,30.0,0.0,30.0,-1.0,81.4,1.0,82.0,-2.0,61.2,-1.6,56.4,-2.5,80.6,-0.8,72.5,0.0,55.0,0.0,50.0,0.0,8.8,30.0,30.0,7.8,24.5,Burkina Faso,15.0,$22.0,5.6,5.1,"$1,466 ",N/A,2.8,$7.4,29.4,,,,,,,,,,,,,,,
25,Burma,Burma,Asia-Pacific,172,40,39.2,0.5,10.0,0.0,15.0,1.0,81.9,-0.1,96.8,0.8,20.0,0.0,20.0,0.0,65.1,3.9,73.6,0.0,0.0,0.0,10.0,0.0,3.2,30.0,30.0,3.2,10.4,Burma,62.4,$82.7,5.5,6.3,"$1,325 ",5.5,4.2,$850.0,44.3,,,,,,,,,,,,,,,
26,Burundi,Burundi,Sub-Saharan Africa,148,34,49.0,0.9,20.0,0.0,19.0,1.0,71.5,-0.7,22.6,-0.3,58.4,12.3,66.4,-0.8,68.7,-2.2,78.9,0.0,55.0,0.0,30.0,0.0,5.5,35.0,35.0,20.1,50.8,Burundi,8.4,$5.2,4.2,4.3,$615 ,N/A,14.9,$1.7,35.3,,,,,,,,,,,,,,,
27,Cambodia,Cambodia,Asia-Pacific,95,16,58.5,0.9,30.0,0.0,21.0,0.0,90.9,-0.2,88.4,-1.6,39.4,-1.3,54.2,7.0,81.3,0.6,70.2,5.0,60.0,0.0,50.0,0.0,9.9,20.0,20.0,10.7,19.7,Cambodia,15.1,$33.5,6.1,5.8,"$2,216 ",3.5,5.5,$891.7,28.6,,,,,,,,,,,,,,,
28,Cameroon,Cameroon,Sub-Saharan Africa,133,27,52.3,0.5,30.0,0.0,25.0,3.0,69.3,0.0,87.1,-3.7,46.8,-0.3,55.5,7.4,69.9,-1.0,54.9,0.0,35.0,0.0,50.0,0.0,15.0,38.5,38.5,10.3,20.7,Cameroon,20.9,$47.3,4.1,3.0,"$2,257 ",N/A,2.9,$360.0,12.9,,,,,,,,,,,,,,,
29,Canada,Canada,North America,6,1,79.4,-0.5,90.0,0.0,87.0,-2.0,79.8,0.6,44.8,3.1,91.7,-4.9,82.3,0.5,75.2,-2.1,88.2,0.3,75.0,0.0,80.0,0.0,0.9,29.0,15.0,31.0,42.9,Canada,34.4,"$1,396.1",2.5,1.1,"$40,541 ",7.4,2.9,"$40,931.5",85.0,,,,,,,,,,,,,,,
30,Cape Verde,CapeVerde,Sub-Saharan Africa,65,4,63.7,0.2,70.0,5.0,55.0,4.0,77.9,0.6,65.4,3.6,58.9,-0.1,40.3,-8.2,78.0,-2.5,66.9,0.0,65.0,0.0,60.0,0.0,11.6,35.0,25.0,19.1,33.9,Cape Verde,0.5,$2.1,5.0,5.8,"$3,947 ",10.7,4.5,$93.1,77.6,,,,,,,,,,,,,,,
31,Central African Republic,CentralAfricanRepublic,Sub-Saharan Africa,142,31,50.4,0.1,20.0,0.0,22.0,1.0,65.1,-0.1,92.4,-0.5,35.2,-2.1,47.9,-1.2,78.1,3.5,57.8,0.0,55.0,0.0,30.0,0.0,13.6,50.0,30.0,9.3,15.9,Central African Republic,4.7,$3.6,3.1,2.8,$768 ,N/A,0.7,$109.2,40.9,,,,,,,,,,,,,,,
32,Chad,Chad,Sub-Saharan Africa,164,41,45.2,0.4,20.0,0.0,20.0,3.0,50.4,0.2,75.5,1.3,25.2,0.3,40.5,-3.2,74.6,2.1,55.6,0.0,50.0,0.0,40.0,0.0,14.7,60.0,40.0,5.2,28.6,Chad,10.5,$19.5,1.6,2.9,"$1,865 ",N/A,1.9,"$1,855.0",32.2,,,,,,,,,,,,,,,
33,Chile,Chile,South and Central America / Caribbean,7,1,79.0,0.7,90.0,0.0,72.0,0.0,77.6,0.2,83.7,1.6,70.5,1.9,74.2,-0.9,84.6,-1.0,82.0,0.0,85.0,5.0,70.0,0.0,4.0,40.0,18.5,17.3,23.3,Chile,17.4,$299.6,5.9,3.9,"$17,222 ",6.1,3.3,"$17,299.0",9.9,,,,,,,,,,,,,,,
34,China,China,Asia-Pacific,136,29,51.9,0.7,20.0,0.0,36.0,1.0,70.2,-0.2,83.3,-0.8,48.0,1.6,62.6,7.2,71.6,-2.6,72.0,0.4,25.0,0.0,30.0,0.0,4.0,45.0,25.0,18.2,23.6,China,1348.1,"$11,300.0",9.2,10.5,"$8,382 ",6.5,5.4,"$1,23,985.0",25.8,,,,,,,,,,,,,,,
35,Colombia,Colombia,South and Central America / Caribbean,37,5,69.6,1.6,50.0,0.0,34.0,-1.0,76.1,0.1,75.2,1.1,90.2,0.8,79.3,-0.4,78.7,0.0,72.2,0.0,70.0,5.0,70.0,10.0,8.9,33.0,33.0,14.4,28.7,Colombia,46.1,$472.0,5.9,4.4,"$10,249 ",10.9,3.4,"$13,234.2",34.7,,,,,,,,,,,,,,,
36,Comoros,Comoros,Sub-Saharan Africa,157,39,47.5,1.8,30.0,0.0,24.0,3.0,64.7,-0.2,82.4,-2.9,44.7,3.2,51.2,20.0,74.6,-3.7,68.8,-0.6,15.0,0.0,20.0,0.0,8.1,30.0,50.0,11.4,24.3,Comoros,0.7,$0.8,2.2,1.5,"$1,232 ",N/A,6.8,$6.8,51.2,,,,,,,,,,,,,,,
37,"Congo, Dem. Rep.",DemcoraticRepublicCongo,Sub-Saharan Africa,171,44,39.6,-1.5,10.0,0.0,20.0,0.0,71.4,-1.1,60.1,-16.0,38.7,0.0,36.3,-2.7,56.5,5.3,63.0,0.0,20.0,0.0,20.0,0.0,11.0,30.0,40.0,18.9,36.5,Democratic Republic of Congo,72.6,$25.3,6.9,5.8,$348 ,N/A,15.5,"$1,686.9",32.0,,,,,,,,,,,,,,,
38,"Congo, Rep.",RepublicCongo,Sub-Saharan Africa,167,42,43.5,-0.3,10.0,0.0,22.0,1.0,61.4,0.1,80.3,2.3,31.5,-9.1,44.8,-0.9,74.3,3.3,60.7,0.0,20.0,0.0,30.0,0.0,14.7,50.0,36.0,7.9,25.6,Republic of Congo,4.0,$18.3,4.5,4.9,"$4,589 ",N/A,1.9,"$2,930.9",22.2,,,,,,,,,,,,,,,
39,Costa Rica,CostaRica,South and Central America / Caribbean,49,8,67.0,-1.0,50.0,-5.0,48.0,-5.0,82.9,0.1,90.1,-0.7,58.3,0.7,60.4,-2.3,75.4,2.0,85.1,0.0,70.0,0.0,50.0,0.0,2.4,25.0,30.0,13.5,18.2,Costa Rica,4.6,$55.0,4.2,3.7,"$11,927 ",7.7,4.9,"$2,104.1",30.8,,,,,,,,,,,,,,,
40,Cote d'Ivoire,CoeDivoire,Sub-Saharan Africa,126,24,54.1,-0.2,25.0,5.0,22.0,0.0,77.9,-0.2,79.8,-6.8,43.3,0.6,54.6,-1.5,77.8,-3.9,70.3,0.0,40.0,5.0,50.0,0.0,7.3,36.0,25.0,17.0,25.9,Côte d'Ivoire,22.7,$36.1,-4.7,1.0,"$1,590 ",N/A,4.9,$344.2,90.5,,,,,,,,,,,,,,,
41,Croatia,Croatia,Europe,78,35,61.3,0.4,40.0,0.0,40.0,-1.0,75.4,-1.0,48.7,3.7,63.0,-0.4,42.4,-2.0,81.1,-0.3,87.5,0.0,75.0,5.0,60.0,0.0,1.2,40.0,20.0,21.4,41.4,Croatia,4.4,$80.3,0.0,-0.1,"$18,192 ",17.7,2.3,"$1,494.1",45.6,,,,,,,,,,,,,,,
42,Cuba,Cuba,South and Central America / Caribbean,176,29,28.5,0.2,10.0,0.0,42.0,5.0,62.7,1.2,0.0,0.0,10.0,0.0,20.0,0.0,67.4,-3.9,62.7,0.0,0.0,0.0,10.0,0.0,8.7,50.0,30.0,18.2,75.2,Cuba,11.2,$120.3,2.7,N/A,"$10,704 ",N/A,4.7,$110.0,35.4,,,,,,,,,,,,,,,
43,Cyprus,Cyprus,Europe,41,19,69.0,-2.8,70.0,0.0,63.0,0.0,79.8,-3.5,32.7,-4.4,80.7,-0.9,62.8,-7.1,84.1,-1.6,81.8,-0.3,75.0,0.0,60.0,-10.0,1.6,35.0,10.0,26.3,47.4,Cyprus,0.8,$23.7,0.5,1.7,"$29,074 ",5.6,3.5,$276.3,71.8,,,,,,,,,,,,,,,
44,Czech Republic,CzechRepublic,Europe,29,15,70.9,1.0,70.0,0.0,44.0,-2.0,82.0,0.0,43.5,6.7,65.8,-1.9,85.5,7.6,81.7,0.2,86.8,-0.3,70.0,0.0,80.0,0.0,1.6,15.0,19.0,34.9,43.4,Czech Republic,10.5,$285.0,1.7,1.6,"$27,062 ",6.7,1.9,"$5,404.5",41.5,,,,,,,,,,,,,,,
45,Denmark,Denmark,Europe,9,2,76.1,-0.1,90.0,0.0,94.0,1.0,39.8,0.0,5.9,5.9,98.4,-0.7,91.1,-1.0,80.0,-0.7,86.8,-0.3,85.0,-5.0,90.0,0.0,1.6,55.4,25.0,48.2,56.0,Denmark,5.6,$206.6,1.1,-0.6,"$37,152 ",8.0,2.8,"$14,770.8",46.4,,,,,,,,,,,,,,,
46,Djibouti,Djibouti,Sub-Saharan Africa,127,25,53.9,0.0,30.0,0.0,30.0,-2.0,79.4,-0.9,48.8,6.4,30.0,-0.5,59.6,-2.0,76.6,-0.6,59.6,0.0,65.0,0.0,60.0,0.0,15.2,30.0,25.0,23.2,41.3,Djibouti,0.8,$2.2,4.5,4.8,"$2,642 ",N/A,5.1,$78.0,55.5,,,,,,,,,,,,,,,
47,Dominica,Dominica,South and Central America / Caribbean,64,12,63.9,2.3,60.0,0.0,52.0,0.0,72.0,3.2,50.1,6.3,77.0,-3.5,68.8,6.9,85.3,0.3,74.3,0.0,70.0,10.0,30.0,0.0,7.9,35.0,30.0,26.0,40.8,Dominica,0.1,$1.0,0.5,2.3,"$13,816 ",23.0,2.3,$24.9,69.9,,,,,,,,,,,,,,,
48,Dominican Republic,DominicanRepublic,South and Central America / Caribbean,87,17,59.7,-0.5,30.0,0.0,26.0,-4.0,83.7,-2.1,92.6,1.2,53.7,-1.8,55.6,-3.1,72.9,-2.2,77.8,-2.3,65.0,10.0,40.0,0.0,6.1,25.0,29.0,12.8,15.7,Dominican Republic,10.1,$93.4,4.5,5.9,"$9,287 ",14.6,8.5,"$2,371.1",29.3,,,,,,,,,,,,,,,
49,Ecuador,Ecuador,South and Central America / Caribbean,159,26,46.9,-1.4,20.0,0.0,27.0,2.0,80.1,1.8,47.3,-17.0,51.5,-2.6,48.0,7.0,66.9,0.1,68.1,0.0,20.0,-5.0,40.0,0.0,6.0,35.0,23.0,15.2,41.9,Ecuador,15.0,$127.4,7.8,4.2,"$8,492 ",4.9,4.5,$567.8,18.0,,,,,,,,,,,,,,,
50,Egypt,Egypt,Middle East / North Africa,125,13,54.8,-3.1,35.0,0.0,29.0,-2.0,85.6,-4.1,69.4,5.3,63.3,-0.5,43.3,-10.4,58.4,-3.9,73.8,-0.2,50.0,-15.0,40.0,0.0,8.1,25.0,25.0,13.9,32.0,Egypt,79.4,$519.0,1.8,5.1,"$6,540 ",12.2,11.1,-$482.7,76.4,,,,,,,,,,,,,,,
51,El Salvador,ElSalvador,South and Central America / Caribbean,53,10,66.7,-2.0,40.0,0.0,34.0,-2.0,85.7,0.2,85.4,-5.7,61.8,-1.4,62.0,-3.3,79.6,-2.5,79.0,0.0,70.0,-5.0,70.0,0.0,5.5,25.0,25.0,13.6,22.1,El Salvador,5.9,$44.6,1.4,0.9,"$7,550 ",7.0,3.6,$385.5,50.8,,,,,,,,,,,,,,,
52,Equatorial Guinea,EquatorialGuinea,Sub-Saharan Africa,170,43,42.3,-0.5,15.0,-5.0,19.0,0.0,75.4,-0.1,39.3,11.3,44.4,-0.3,43.1,-0.7,72.8,-0.3,58.8,0.0,25.0,0.0,30.0,-10.0,15.6,35.0,35.0,2.4,45.0,Equatorial Guinea,1.4,$26.1,7.1,8.6,"$19,356 ",22.3,7.3,$737.1,8.4,,,,,,,,,,,,,,,
53,Eritrea,Eritrea,Sub-Saharan Africa,173,45,36.3,0.1,10.0,0.0,25.0,-1.0,57.0,0.0,54.6,7.8,17.3,0.2,54.6,-8.6,55.5,2.6,69.1,0.0,0.0,0.0,20.0,0.0,5.4,30.0,30.0,50.0,38.9,Eritrea,5.5,$4.0,8.7,1.1,$735 ,N/A,13.3,$18.5,133.8,,,,,,,,,,,,,,,
54,Estonia,Estonia,Europe,13,4,75.3,2.1,85.0,5.0,64.0,-1.0,79.7,0.6,56.2,17.4,78.2,2.5,56.0,-0.9,77.1,-2.2,86.8,-0.3,90.0,0.0,80.0,0.0,1.6,21.0,21.0,34.0,38.2,Estonia,1.3,$27.3,7.6,-0.5,"$20,380 ",10.1,5.1,$257.1,6.0,,,,,,,,,,,,,,,
55,Ethiopia,Ethiopia,Sub-Saharan Africa,146,32,49.4,-2.6,30.0,0.0,27.0,0.0,74.2,-0.6,89.6,-1.5,52.4,-12.0,46.9,-8.6,64.7,-2.4,64.0,-1.6,25.0,0.0,20.0,0.0,10.5,35.0,35.0,11.2,18.6,Ethiopia,86.8,$94.9,7.5,9.7,"$1,093 ",N/A,18.1,$206.1,37.3,,,,,,,,,,,,,,,
56,Fiji,Fiji,Asia-Pacific,105,18,57.2,-0.1,25.0,0.0,20.0,0.0,78.0,-0.1,78.0,-0.9,65.7,6.4,74.9,-0.9,72.8,-2.9,68.0,-1.7,40.0,10.0,50.0,-10.0,11.0,31.0,28.0,21.4,27.1,Fiji,0.9,$4.1,2.0,0.1,"$4,620 ",N/A,8.6,$204.3,53.9,,,,,,,,,,,,,,,
57,Finland,Finland,Europe,16,7,74.0,1.7,90.0,0.0,94.0,2.0,66.9,1.5,12.2,7.0,94.8,-0.1,45.3,2.9,79.5,-1.8,86.8,-0.3,90.0,5.0,80.0,0.0,1.6,30.5,24.5,42.1,54.1,Finland,5.4,$195.7,2.9,0.7,"$36,236 ",7.9,3.3,$53.8,48.6,,,,,,,,,,,,,,,
58,France,France,Europe,62,30,64.1,0.9,80.0,0.0,70.0,2.0,53.0,-0.8,5.6,0.3,84.0,0.3,50.5,-1.1,81.1,-1.2,81.8,-0.3,65.0,10.0,70.0,0.0,1.6,41.0,34.4,42.9,56.1,France,63.1,"$2,217.9",1.7,0.5,"$35,156 ",10.6,2.3,"$40,945.0",86.3,,,,,,,,,,,,,,,
